arsenic tetrachloride,AsCl4
arsenic trichloride,AsCl3
boron trifluoride,BF3
boron tribromide,BBr3
bromine monochloride,BrCl
bromine monofluoride,BrF
carbon dioxide, CO2 
carbon disulfide,CS2
carbon monoxide,CO
carbon tetrachloride,CCl4
carbon tetrabromide,CBr4
carbon tetrafluoride,CF4
carbon tetraiodide,CI4
diarsenic pentoxide,As2O5 
diarsenic trisulfide,As2S3
dibromine pentachloride, Br2Cl5
dichlorine heptoxide,Cl2O7
dinitrogen pentoxide,N2O5 
dinitrogen tetroxide,N2O4
dinitrogen trichloride,N2Cl3
diphosphorus pentoxide,P2O5 
diphosphorus pentasulfide,P2S5 
disulfur dichloride,S2Cl2
nitrogen trichloride,NCl3
selenium dibromide,SeBr2
selenium disulfide,SeS2
selenium trisulfide,SeS3
silicon dioxide,SiO2
silicon disulfide,SiS2
silicon tetrachloride,SiCl4
silicon tetrabromide,SiBr4
silicon tetrafluoride,SiF4
silicon tetraioide,SiI4
sulfur dioxide,SO2
tetraphosphorus decaoxide,P4O10
tetraphosphorus hexoxide,P4O6
xenon dioxide,XeO2
xenon hexafluoride,XeF6
xenon hexachloride,XeCl6
xenon tetrafluoride,XeF4
xenon tetroxide,XeO4
