Copper (I) Acetate,CuC2H3O2
Copper (I) Chlorate,CuClO3
Copper (I) Chlorite,CuClO2
Copper (I) Cyanide,CuCN
Copper (I) Hydroxide,CuOH
Copper (I) Hypochlorite,CuClO
Copper (I) Nitrate,CuNO3
Copper (I) Nitrite,CuNO2
Copper (I) Perchlorate,CuClO4
Copper (I) Permanganate,CuMnO4
Copper (I) Carbonate,Cu2CO3
Copper (I) Chromate,Cu2CrO4
Copper (I) Dichromate,Cu2Cr2O7
Copper (I) Sulfate,Cu2SO4
Copper (I) Sulfite,Cu2SO3
Copper (I) Silicate,Cu2SiO3
Copper (I) Arsenate,Cu3AsO4
Copper (I) Phosphite,Cu3PO3
Copper (I) Phosphate,Cu3PO4
Copper (II) Acetate,Cu(C2H3O2)2
Copper (II) Chlorate,Cu(ClO3)2
Copper (II) Chlorite,Cu(ClO2)2
Copper (II) Cyanide,Cu(CN)2
Copper (II) Hydroxide,Cu(OH)2
Copper (II) Hypochlorite,Cu(ClO)2
Copper (II) Nitrate,Cu(NO3)2
Copper (II) Nitrite,Cu(NO2)2
Copper (II) Perchlorate,Cu(ClO4)2
Copper (II) Permanganate,Cu(MnO4)2
Copper (II) Carbonate,CuCO3
Copper (II) Chromate,CuCrO4
Copper (II) Dichromate,CuCr2O7 
Copper (II) Sulfate,CuSO4
Copper (II) Sulfite,CuSO3
Copper (II) Silicate,CuSiO3
Copper (II) Arsenate,Cu3(AsO4)2
Copper (II) Phosphite,Cu3(PO3)2
Copper (II) Phosphate,Cu3(PO4)2
iron (II) Acetate,Fe(C2H3O2)2
iron (II) Chlorate,Fe(ClO3)2
iron (II) Chlorite,Fe(ClO2)2
iron (II) Cyanide,Fe(CN)2
iron (II) Hydroxide,Fe(OH)2
iron (II) Hypochlorite,Fe(ClO)2
iron (II) Nitrate,Fe(NO3)2
iron (II) Nitrite,Fe(NO2)2
iron (II) Perchlorate,Fe(ClO4)2
iron (II) Permanganate,Fe(MnO4)2
iron (II) Carbonate,FeCO3
iron (II) Chromate,FeCrO4
iron (II) Dichromate,FeCr2O7 
iron (II) Sulfate,FeSO4
iron (II) Sulfite,FeSO3
iron (II) Silicate,FeSiO3
iron (II) Arsenate,Fe3(AsO4)2
iron (II) Phosphite,Fe3(PO3)2
iron (II) Phosphate,Fe3(PO4)2
chromium (II) Acetate,Cr(C2H3O2)2
chromium (II) Chlorate,Cr(ClO3)2
chromium (II) Chlorite,Cr(ClO2)2
chromium (II) Cyanide,Cr(CN)2
chromium (II) Hydroxide,Cr(OH)2
chromium (II) Hypochlorite,Cr(ClO)2
chromium (II) Nitrate,Cr(NO3)2
chromium (II) Nitrite,Cr(NO2)2
chromium (II) Perchlorate,Cr(ClO4)2
chromium (II) Permanganate,Cr(MnO4)2
chromium (II) Carbonate,CrCO3
chromium (II) Chromate,CrCrO4
chromium (II) Dichromate,CrCr2O7 
chromium (II) Sulfate,CrSO4
chromium (II) Sulfite,CrSO3
chromium (II) Silicate,CrSiO3
chromium (II) Arsenate,Cr3(AsO4)2
chromium (II) Phosphite,Cr3(PO3)2
chromium (II) Phosphate,Cr3(PO4)2
cobalt (II) Acetate,Co(C2H3O2)2
cobalt  (II) Chlorate,Co(ClO3)2
cobalt (II) Chlorite,Co(ClO2)2
cobalt  (II) Cyanide,Co(CN)2
cobalt  (II) Hydroxide,Co(OH)2
cobalt  (II) Hypochlorite,Co(ClO)2
cobalt (II) Nitrate,Co(NO3)2
cobalt  (II) Nitrite,Co(NO2)2
cobalt  (II) Perchlorate,Co(ClO4)2
cobalt  (II) Permanganate,Co(MnO4)2
cobalt  (II) Carbonate,CoCO3
cobalt  (II) Chromate,CoCrO4
cobalt  (II) Dichromate,CoCr2O7 
cobalt  (II) Sulfate,CoSO4
cobalt  (II) Sulfite,CoSO3
cobalt  (II) Silicate,CoSiO3
cobalt  (II) Arsenate,Co3(AsO4)2
cobalt  (II) Phosphite,Co3(PO3)2
cobalt  (II) Phosphate,Co3(PO4)2
nickel (II) Acetate,Ni(C2H3O2)2
nickel  (II) Chlorate,Ni(ClO3)2
nickel (II) Chlorite,Ni(ClO2)2
nickel (II) Cyanide,Ni(CN)2
nickel (II) Hydroxide,Ni(OH)2
nickel (II) Hypochlorite,Ni(ClO)2
nickel (II) Nitrate,Ni(NO3)2
nickel (II) Nitrite,Ni(NO2)2
nickel (II) Perchlorate,Ni(ClO4)2
nickel (II) Permanganate,Ni(MnO4)2
nickel (II) Carbonate,NiCO3
